WaferID,Batch,BatchIdx,Shift,F1_Tool,F1_Thickness_um,F1_TTV_um,F1_Warp_um,SCRAP_F1,F2_Tool,F2_RCA1_Temp_C,F2_RCA1_Time_s,F2_RCA2_Temp_C,F2_HFDip_Time_s,F2_Particles,F2_MetalContam_ppb,SCRAP_F2,F3_Tool,F3_OxTemp_C,F3_OxTime_min,F3_O2Flow_slm,F3_Thickness_nm,F3_ThicknessDev_nm,F3_Uniformity_pct,F3_KLA_Defects,SCRAP_F3,F4_Tool,F4_CVD_Temp_C,F4_Pressure_mTorr,F4_SiH4_sccm,F4_NH3_sccm,F4_SiN_Thickness_nm,F4_RefractiveIndex,SCRAP_F4,F5_Tool,F5_UVDose_mJ,F5_FocusOffset_nm,F5_BakeTemp_C,F5_DevTime_s,F5_CD_nm,F5_Overlay_nm,F5_KLA_Defects,SCRAP_F5,F6_Tool,F6_EtchTime_s,F6_EtchTemp_C,F6_RFPower_W,F6_CF4_sccm,F6_Pressure_mTorr,F6_Selectivity,F6_Uniformity_pct,F6_ProfileAngle_deg,F6_KLA_Defects,SCRAP_F6,F7_Tool,F7_O2Power_W,F7_StripTemp_C,F7_Time_s,F7_ResidualResist_pct,SCRAP_F7,F8_Tool,F8_Dose_ions_cm2,F8_Energy_keV,F8_Tilt_deg,F8_BeamCurrent_mA,F8_SheetRes_ohmSq,SCRAP_F8,F9_Tool,F9_PeakTemp_C,F9_RampRate_Cs,F9_SoakTime_s,F9_Activation_pct,SCRAP_F9,F10_Tool,F10_Pressure_psi,F10_Platen_rpm,F10_SlurryFlow_mlmin,F10_Time_s,F10_MRR_nmmin,F10_Dishing_nm,F10_Uniformity_pct,F10_KLA_Defects,SCRAP_F10,F11_Tool,F11_DCPower_kW,F11_Ar_sccm,F11_Pressure_mTorr,F11_CuThickness_nm,F11_Resistivity_uOhmcm,F11_StepCoverage_pct,SCRAP_F11,F12_Tool,F12_CurrentDensity_mAcm2,F12_BathTemp_C,F12_Additive_ppm,F12_PlatingTime_s,F12_VoidCount,F12_Overburden_nm,SCRAP_F12,F13_Tool,F13_TargetPower_kW,F13_N2_sccm,F13_Pressure_mTorr,F13_TaNThickness_nm,F13_StepCoverage_pct,F13_BarrierIntegrity,SCRAP_F13,Chem_HF_Reactivity,Chem_SC1_Efficiency,Chem_Cu_Potential_V,Chem_SiN_PlasmaReactivity,Chem_SelectivityIndex,TotalScraps,SCRAP_FINAL
1,BATCH_001,1,Night,DISCO_DSC1,725.6,1.45,0.6,0,SEZ_DV_LL,77.0,612.0,78.0,29.7,15,1.01,0,TEL_INDY_PLUS,1001.2,55.7,5.02,95.11,4.89,2.78,8,0,LAM_VECTOR,749.9,226.4,109.29,468.8,76.34,2.031,0,NIKON_NSR_S620,29.47,-6.4,111.5,56.1,88.53,5.9,10,0,LAM_9400_TCP,41.4,62.4,844.3,85.68,81.1,9.79,2.6,87.07,7,0,MATTSON_ASPEN2,1609.3,227.3,165.0,0.318,0,VARIAN_VIISTA,1021622262734995.0,38.4,7.36,14.89,79.2,0,TEL_RTP,1036.7,75.92,8.2,80.72,0,NOVELLUS_MOMENTUM,4.42,57.7,179.1,86.0,129.42,11.24,1.52,8,0,NOVELLUS_INOVA,12.86,47.8,2.58,163.44,1.73,83.86,0,SEMITOOL_EQUINOX,21.52,26.3,7.99,112.5,0,308.6,0,TEL_TELINDY,7.52,31.1,2.36,10.46,89.32,Good,0,43.7641,91.5,0.3409,0.95,9.934,0,0
2,BATCH_001,1,Morning,DISCO_DSC1,724.8,1.15,7.5,0,SEZ_DV_LL,77.8,614.0,76.2,34.7,7,0.319,0,TEL_INDY_PLUS,1016.3,66.2,5.27,109.02,9.02,1.91,0,1,LAM_VECTOR,761.3,287.6,96.86,489.2,82.14,2.008,0,NIKON_NSR_S620,32.82,68.1,111.9,56.3,92.56,3.6,3,0,LAM_9400_TCP,42.1,56.6,838.5,84.43,100.2,10.09,3.84,89.04,0,0,MATTSON_ASPEN2,1444.3,231.4,187.0,0.315,0,VARIAN_VIISTA,955445078661431.0,38.72,7.33,14.71,83.53,0,TEL_RTP,1043.7,76.13,11.3,85.8,0,NOVELLUS_MOMENTUM,4.34,58.7,199.8,80.8,111.07,2.9,1.21,3,0,NOVELLUS_INOVA,12.77,51.3,2.66,150.28,1.816,89.64,0,SEMITOOL_EQUINOX,21.94,25.9,8.15,111.7,1,329.5,0,TEL_TELINDY,8.1,29.2,2.15,9.81,90.71,Good,0,36.6817,96.46,0.3412,1.049,9.832,1,0
3,BATCH_001,1,Afternoon,DISCO_DSC1,722.6,0.78,0.7,0,SEZ_DV_LL,80.4,592.0,77.9,28.9,8,0.224,0,TEL_INDY_PLUS,985.2,69.6,5.18,103.08,3.08,2.05,5,0,LAM_VECTOR,747.3,241.4,95.54,547.1,75.72,2.029,0,NIKON_NSR_S620,29.54,15.6,111.5,52.1,90.52,4.6,5,0,LAM_9400_TCP,43.6,63.0,845.9,79.96,98.5,9.76,3.36,87.71,3,0,MATTSON_ASPEN2,1403.9,246.9,179.0,0.232,0,VARIAN_VIISTA,1000661234775870.0,40.15,7.28,15.49,,0,TEL_RTP,1063.2,79.85,8.3,91.79,0,NOVELLUS_MOMENTUM,4.56,61.6,188.5,84.5,127.37,2.62,2.57,3,0,NOVELLUS_INOVA,13.31,49.5,2.61,143.12,1.743,88.26,0,SEMITOOL_EQUINOX,21.94,25.9,8.3,122.2,0,272.1,0,TEL_TELINDY,8.71,29.4,1.92,9.59,92.28,Good,0,44.5552,90.24,0.3412,1.049,9.709,0,0
4,BATCH_001,1,Afternoon,DISCO_DSC1,724.5,0.09,0.7,0,SEZ_DV_LL,78.2,633.0,79.6,23.8,3,0.295,0,TEL_INDY_PLUS,1011.2,54.3,4.73,93.86,6.14,1.75,4,0,LAM_VECTOR,759.6,195.9,105.17,533.0,76.84,2.029,0,NIKON_NSR_S620,26.68,44.0,109.1,63.5,88.0,3.0,2,0,LAM_9400_TCP,46.3,60.7,784.5,92.22,101.6,10.0,2.71,89.12,1,0,MATTSON_ASPEN2,1582.0,239.3,169.0,0.422,0,VARIAN_VIISTA,997404342693176.0,39.28,6.89,14.73,81.52,0,TEL_RTP,1058.0,70.63,8.8,91.58,0,NOVELLUS_MOMENTUM,4.57,58.2,211.6,90.6,141.33,1.14,2.24,1,0,NOVELLUS_INOVA,11.69,54.2,2.82,146.94,1.846,85.28,0,SEMITOOL_EQUINOX,20.26,24.8,8.56,119.4,1,331.5,0,TEL_TELINDY,7.77,31.4,1.79,8.8,85.79,Good,0,41.5836,98.46,0.3402,0.988,10.2,0,0
5,BATCH_001,1,Night,DISCO_DSC1,727.3,1.48,0.1,0,SEZ_DV_LL,79.1,606.0,79.8,32.9,19,0.807,0,TEL_INDY_PLUS,991.0,54.4,5.41,92.03,7.97,2.35,8,0,LAM_VECTOR,738.9,228.6,102.24,524.1,74.07,2.002,0,NIKON_NSR_S620,26.18,28.0,112.2,59.6,89.34,13.6,10,0,LAM_9400_TCP,39.6,59.6,815.0,80.72,96.2,9.99,3.72,88.82,8,0,MATTSON_ASPEN2,1639.5,269.2,151.0,0,0,VARIAN_VIISTA,991393103513458.0,38.79,7.29,15.22,75.53,0,TEL_RTP,1043.8,77.8,8.6,82.82,0,NOVELLUS_MOMENTUM,4.47,61.9,211.6,83.4,136.32,0.79,1.43,5,0,NOVELLUS_INOVA,13.59,49.3,3.24,153.3,1.874,89.1,0,SEMITOOL_EQUINOX,19.68,25.8,7.41,127.0,0,306.1,0,TEL_TELINDY,7.14,31.8,1.83,9.97,89.47,Good,0,40.2198,89.29,0.3398,0.999,10.056,0,0
6,BATCH_001,1,Night,DISCO_DSC1,724.9,0.35,2.7,0,SEZ_DV_LL,79.6,604.0,78.8,28.8,9,0.819,0,TEL_INDY_PLUS,999.1,65.7,4.66,102.42,2.42,2.97,4,0,LAM_VECTOR,738.9,258.6,97.81,444.0,79.33,2.001,0,NIKON_NSR_S620,28.45,-17.8,110.0,60.3,88.18,7.8,5,0,LAM_9400_TCP,44.7,57.9,786.5,85.29,89.3,10.13,4.14,88.61,1,0,MATTSON_ASPEN2,1459.1,255.4,184.0,0,0,VARIAN_VIISTA,989639776221468.0,38.71,7.07,14.2,81.48,0,TEL_RTP,1040.4,79.66,11.4,79.62,1,NOVELLUS_MOMENTUM,4.37,59.4,228.3,83.5,143.67,3.56,2.14,3,0,NOVELLUS_INOVA,11.58,53.8,2.93,152.98,1.858,81.71,0,SEMITOOL_EQUINOX,20.4,26.6,8.11,116.7,0,275.6,0,TEL_TELINDY,6.98,33.3,1.79,11.14,88.89,Good,0,38.1828,92.94,0.3403,0.929,10.314,1,0
7,BATCH_001,1,Night,DISCO_DSC1,726.1,1.0,0.6,0,SEZ_DV_LL,77.8,564.0,77.0,32.7,6,0.727,0,TEL_INDY_PLUS,992.6,68.4,5.04,103.27,3.27,1.94,7,0,LAM_VECTOR,745.2,256.6,86.1,458.3,79.61,1.993,0,NIKON_NSR_S620,31.5,32.7,113.6,62.3,91.23,20.5,5,1,LAM_9400_TCP,45.6,64.3,797.1,77.98,89.5,9.79,3.36,88.46,3,0,MATTSON_ASPEN2,1686.2,256.3,198.0,0.205,0,VARIAN_VIISTA,978314476478577.0,39.91,7.32,14.69,80.82,0,TEL_RTP,1042.1,72.64,11.0,79.27,1,NOVELLUS_MOMENTUM,4.52,60.0,221.5,96.1,142.4,10.25,2.58,4,0,NOVELLUS_INOVA,12.16,45.1,2.96,147.8,1.924,86.35,0,SEMITOOL_EQUINOX,17.26,24.8,7.29,110.2,0,344.2,0,TEL_TELINDY,6.9,27.1,1.74,11.06,88.89,Good,0,46.3085,96.96,0.3381,0.943,9.67,2,1
8,BATCH_001,1,Morning,DISCO_DSC1,725.5,2.57,4.8,0,SEZ_DV_LL,77.5,629.0,76.4,37.5,10,0.646,0,TEL_INDY_PLUS,1001.1,51.1,5.25,93.45,6.55,2.75,8,0,LAM_VECTOR,730.2,247.7,95.76,474.3,74.67,1.991,0,NIKON_NSR_S620,28.98,-78.8,109.3,62.0,93.85,5.2,4,0,LAM_9400_TCP,44.2,64.2,809.9,73.79,106.4,9.77,1.86,88.81,4,0,MATTSON_ASPEN2,1518.6,242.6,202.0,0,0,VARIAN_VIISTA,1012634083521086.0,40.66,6.82,13.75,78.12,0,TEL_RTP,1038.8,67.09,8.5,81.03,0,NOVELLUS_MOMENTUM,4.43,53.7,197.1,100.1,125.55,13.96,2.51,8,0,NOVELLUS_INOVA,12.76,49.0,3.02,144.19,1.954,81.85,0,SEMITOOL_EQUINOX,17.38,24.9,8.11,103.9,0,331.1,0,TEL_TELINDY,8.4,31.2,2.36,10.07,92.01,Good,0,46.1717,94.75,0.3382,1.044,9.394,0,0
9,BATCH_001,1,Afternoon,DISCO_DSC1,727.9,1.23,5.5,0,SEZ_DV_LL,77.6,532.0,79.3,29.0,10,0.761,0,TEL_INDY_PLUS,992.1,61.5,5.08,99.04,0.96,1.82,6,0,LAM_VECTOR,757.7,241.8,95.98,581.1,77.25,2.062,1,NIKON_NSR_S620,29.39,-66.1,106.4,60.8,89.02,4.0,5,0,LAM_9400_TCP,39.3,59.2,815.6,75.12,111.5,10.01,3.81,86.05,2,0,MATTSON_ASPEN2,1394.6,255.6,151.0,0,0,VARIAN_VIISTA,987159014401411.0,38.83,6.99,16.21,79.25,0,TEL_RTP,1052.7,77.8,8.9,85.46,0,NOVELLUS_MOMENTUM,4.47,59.9,204.1,87.4,132.24,8.97,1.77,3,0,NOVELLUS_INOVA,12.76,47.0,2.85,148.96,1.803,85.4,0,SEMITOOL_EQUINOX,19.52,25.3,8.13,114.0,0,340.9,0,TEL_TELINDY,7.85,32.4,2.12,11.51,92.92,Good,0,39.7328,94.84,0.3397,1.077,10.108,1,0
10,BATCH_001,1,Afternoon,DISCO_DSC1,723.9,0.94,7.7,0,SEZ_DV_LL,77.7,570.0,78.8,27.3,8,0.531,0,TEL_INDY_PLUS,989.4,55.2,4.81,98.69,1.31,2.62,5,0,LAM_VECTOR,752.6,239.3,100.95,502.1,83.64,2.008,0,NIKON_NSR_S620,33.41,-1.1,109.5,56.1,89.82,4.0,4,0,LAM_9400_TCP,46.1,61.5,813.6,81.4,96.0,9.9,3.16,91.87,6,0,MATTSON_ASPEN2,1493.0,250.9,184.0,0.321,0,VARIAN_VIISTA,1011395108987741.0,38.26,7.11,14.82,81.28,0,TEL_RTP,1073.0,76.89,11.9,97.34,0,NOVELLUS_MOMENTUM,4.14,63.1,188.8,109.8,135.11,10.4,2.1,7,0,NOVELLUS_INOVA,11.19,56.9,2.7,160.69,1.649,79.28,0,SEMITOOL_EQUINOX,16.76,25.4,8.06,116.3,0,334.6,0,TEL_TELINDY,8.03,34.4,2.12,11.12,90.65,Good,0,42.5986,95.91,0.3377,0.996,9.918,0,0
